X,Y,OBJECTID,codigo,uf,codigo_anterior,regime,enquadramento,responsavel,latitude,longitude,corpo_hidrico,ano,contagem,media,minimo,maximo,stddev,variancia
-39.468135,-6.64670699999994,1164,PRB01,CE,,lentico,12,COGERH,-6.646707,-39.468135,Informação não disponível,2017,2,"72,60","72,60","72,60","0,00","0,00"
-39.660833,-15.430833,1165,PRDAGP100,BA,PRDPRA100,lotico,12,INEMA,-15.430833,-39.660833,Água Preta,2017,8,"75,00","70,50","77,70","2,90","8,42"
-40.248611,-15.235833,1166,PRDCGR300,BA,,lotico,12,INEMA,-15.235833,-40.248611,Catolé Grande,2017,8,"59,75","42,20","68,10","11,00","120,91"
-40.237833,-15.2614439999999,1167,PRDCGR400,BA,,lotico,12,INGÁ,-15.261444,-40.237833,Catolé Grande,2017,8,"54,05","40,90","59,70","8,18","66,93"
-40.2377769999999,-15.261388,1168,PRDCGR600,BA,,lotico,12,INEMA,-15.261388,-40.237777,Catolé Grande,2017,8,"54625,00","47,20","59,80","5,33","28,45"
-40.87028,-14.9033299999999,1169,PRDCLB100,BA,,lotico,12,INGÁ,-14.90333,-40.87028,Córrego lagoa de Baixo,2017,8,"52225,00","45,30","59,70","5,45","29,71"
-40.04583,-15.6539999999999,1170,PRDJUN500,BA,,lotico,12,INEMA,-15654,-40.04583,Córrego Jundiá,2017,8,"28825,00","19,70","44,40","10,38","107,73"
-40.430833,-15.564444,1171,PRDMAC900,BA,,lotico,12,INEMA,-15.564444,-40.430833,Macarani,2017,8,"46075,00","39,10","54,10","5,71","32,57"
-40.447778,-15.549722,1172,PRDMAJ500,BA,,lotico,12,INEMA,-15.549722,-40.447778,Manjerona,2017,8,"72775,00","65,50","77,00","4,66","21,69"
-40.2591669999999,-15.6144439999999,1173,PRDPAL700,BA,,lotico,12,INEMA,-15.614444,-40.259167,Córrego Palmeira,2017,8,"38,65","26,70","49,80","8,75","76,59"
-39.500278,-15.4269439999999,1174,PRDPAN600,BA,,lotico,12,INEMA,-15.426944,-39.500278,Panelão,2017,8,"67,55","60,60","73,50","5,14","26,46"
-41.237111,-15.513139,1175,PRDPRD200,BA,,lotico,12,INGÁ,-15.513139,-41.237111,Rio Pardo,2017,8,"64,20","57,60","73,60","7,17","51,43"
-40.626389,-15.2754169999999,1176,PRDPRD300,BA,,lotico,12,INGÁ,-15.275417,-40.626389,Rio Pardo,2017,8,"64,70","42,00","77,20","14,38","206,73"
-40.066111,-15.391111,1177,PRDPRD350,BA,,lotico,12,INEMA,-15.391111,-40.066111,Pardo,2017,4,"60,20","53,20","67,20","8,08","65,33"
-39.867667,-15.52075,1178,PRDPRD400,BA,,lotico,12,INGÁ,-15.52075,-39.867667,Rio Pardo,2017,6,"67,73","58,50","76,30","7,98","63,63"
-39.7217699999999,-15.56024,1179,PRDPRD430,BA,,lotico,12,INGÁ,-15.56024,-39.72177,Rio Pardo,2017,6,"77,17","70,50","82,30","5,41","29,26"
-39.4100999999999,-15.57985,1180,PRDPRD500,BA,,lotico,12,INGÁ,-15.57985,-39.4101,Rio Pardo,2017,8,"79075,00","76,80","83,30","2,82","7,95"
-39.304472,-15.5685559999999,1181,PRDPRD600,BA,,lotico,12,INGÁ,-15.568556,-39.304472,Rio Pardo,2017,8,"75175,00","70,00","77,20","3,22","10,36"
