X,Y,OBJECTID,codigo,uf,codigo_anterior,regime,enquadramento,responsavel,latitude,longitude,corpo_hidrico,Ano_1,Cont_1,Media_1,Min_1,Max_1,Stddev_1,Variance_1
-38.444722,-12.85,1333,RCNLPX001,BA,,lotico,12,INEMA,-12.85,-38.444722,Bacia Rio do Cobre,2017,6,60.2333333333333,54.5,70.2,7.74923652153345,60.0506666666678
-38.448639,-12.851444,1334,RCNLPX002,BA,,lentico,12,INEMA,-12.851444,-38.448639,Lagoa da Paixão,2017,6,75.8666666666667,71.7,82.7,5.33541625992468,28.4666666666686
-38504,-12982,1335,RCNLTO001,BA,,lentico,12,INEMA,-12982,-38504,Dique do Tororó,2017,6,57.5666666666667,54.9,61.6,3.17783993723188,10.0986666666659
-38.4949999999999,-12.995556,1336,RCNLUC100,BA,,lotico,12,INEMA,-12.995556,-38495,Lucaia,2017,6,37.0666666666667,33,39.1,3.15002645491548,9.9226666666674
-38.486667,-13.005556,1337,RCNLUC400,BA,,lotico,12,INEMA,-13.005556,-38.486667,Lucaia,2017,6,38.3333333333333,21,53.8,14.739696966582,217.258666666666
-38.3715999999999,-12.9340999999999,1338,RCNMAN100,BA,RCNJGB900,lotico,12,INEMA,-12.9341,-38.3716,Mangabeira,2017,6,21.5,18.6,23.2,2.25743216952357,5.09599999999991
-38.351694,-12.777528,1339,RCNMRQ100,BA,,lentico,12,INGÁ,-12.777528,-38.351694,Rio Muriqueira,2017,8,40375,36.5,44.8,3.154475278983,9.9507142857149
-38.4622219999999,-12.8661109999999,1340,RCNPAR700,BA,,lotico,12,INEMA,-12.866111,-38.462222,Paraguari,2017,6,27.6666666666667,16.5,44.8,13.4736285634816,181.538666666667
-38.479167,-12.8594439999999,1341,RCNPAR950,BA,,lotico,12,INEMA,-12.859444,-38.479167,Paraguari,2017,6,27.0333333333333,18.1,31.5,6.91973024522393,47.8826666666668
-38.441583,-12.9265,1342,RCNPIT200,BA,,lotico,12,INEMA,-12.9265,-38.441583,Pituaçu,2017,6,22.5666666666667,21.3,23.5,1.01718565988052,1.03466666666657
-38.79018,-12.32999,1343,RCNPOJ200,BA,,lotico,12,INGÁ,-12.32999,-38.79018,Rio Pojuca,2017,8,46.4,38.2,55.6,6.65045648272141,44.2285714285712
-38.615583,-12.4061389999999,1344,RCNPOJ300,BA,,lotico,12,INGÁ,-12.406139,-38.615583,Rio Pojuca,2017,8,39575,28.9,49.7,9.13810702498061,83505
-38.317444,-12.4225,1345,RCNPOJ400,BA,,lotico,12,INGÁ,-12.4225,-38.317444,Rio Pojuca,2017,8,51475,44.1,57,4.97730563945706,24.773571428571
-38.133056,-12.376111,1346,RCNPOJ600,BA,,lotico,12,INGÁ,-12.376111,-38.133056,Rio Pojuca,2017,8,67.1,62.1,74.2,4.93442716316421,24.3485714285728
-38.0416109999999,-12.570167,1347,RCNPOJ800,BA,,lotico,12,INGÁ,-12.570167,-38.041611,Rio Pojuca,2017,8,78025,71.5,83.7,4.9623583103197,24.624999999999
